Video Date,Session Number,Grasped?,Notes,Object
2024/08/09 12:40 (GMT+1),0,☑️ - Manipulated or Pinched - No Grasp,The First ant walks into frame and senses the nyjer seed using the antennae and forelegs and attempts to grasp the object. The ant searches repetitively along the length of the seed. Another ant walks in and senses and manipulates a dandelion seed that is out of focus. The ant sensing the nyjer seed walks away and another ant quickly senses the seed with its antennae the walks away. Other ants walk over the nyjer seed without attempting to manipulate it while the dandelion seed is manipulated in the background.,"Dandelion seed, Nyjer"
2024/08/09 12:40 (GMT+1),1,☑️ - Manipulated or Pinched - No Grasp,"The ant interacting with the nyjer seed senses using its antennae and manipulates the seed using its fore, and mid legs. Other ants walk through and interact with the seed by sensing it using antennae then walking away. The ant makes multiple pinches on the nyjer seed with the mandibles, and in the background, a dandelion seed is manipulated and removed however this interaction is not in focus of the cameras. There are multiple ants sensing and manipulating the nyjer seed simultaneously. An ant walks through the scene carrying another seed, interacts with the ant sensing the nyjer seed then leaves, then returns a number of seconds later and re-grasps this other seed in the centre of the field of focus of this video. The nyjer seed is not taken away, but is sensed and manipulated once more at 2:46.","Dandelion seed, Nyjer, Oat"
2024/08/09 12:40 (GMT+1),2,☑️ - Manipulated or Pinched - No Grasp,"Researcher moves seed to the centre frame. At 0:30, ant approaches the seed and senses it using the antennae and forelegs. The ant scans along the seed and senses using its mandibles, the ant also manipulates the seed using its forelegs. Another ant approaches the seed and senses it at the same time but moves away and senses another seed in the scene instead. The ant initially sensing the seed moves to eat a substance on the ground of the arena. Another ant approaches and the two ants touch antennae, and the first ant then exhibits cleaning behaviours, moving the forelegs along the antennae. This ant then returns to sense the nyjer seed and make some grasp attempts while lifting the seed using its forelegs. Another ant joins to sense and manipulate the seed but walks away without grasping. The ant remaining on the seed makes several grasp attempts, moving away at approximately 2:00. The full video contains multiple ants sensing and attempting to grasp two different seeds in the camera views, but no ants successfully grasp or lift either seed. 2:44 to 3:02, and 3:27 to 3:44 show good examples of the scanning behaviour that occurs when an ant is searching for a grasp.","Nyjer, Oat"
2024/08/09 12:40 (GMT+1),4,❌ - Sensed - Not Manipulated,Starts from 0:49. Ant senses grass seed up and down but does not pick it up. Good Focus.,Grass Seed
2024/08/09 12:40 (GMT+1),5,❌ - Sensed - Not Manipulated,"Senses object, does not pick up",Grass Seed
2024/08/09 12:40 (GMT+1),7,☑️ - Manipulated or Pinched - No Grasp,"Two ants simultaneously interact with the seed, using antennae and forelegs to manipulate the object, and using the mandibles to pinch. At 0:18, the object is lifted off the floor between the two ants but then lowered to the ground again as one ant walks away. A third ant senses and manipulates the object then exhibits cleaning behaviour at 0:35. Another ant senses the object but no ants carry the object away. ",Nyjer
2024/08/09 12:40 (GMT+1),8,❌ - Sensed - Not Manipulated,A single ant interacts with the nyjer seed but does not appear to make any grasp attempt. ,Nyjer
2024/08/09 12:40 (GMT+1),9,☑️ - Manipulated or Pinched - No Grasp,"Researcher places the seed in view. The first ant senses and manipulates the seed, making some grasp attempts with the mandibles and moves the object around on the ground. The ant stops to clean its antennae then interacts with other ants before walking away.",Nyjer
2024/08/09 12:40 (GMT+1),11,☑️ - Manipulated or Pinched - No Grasp,Ant senses object and manipulates it using the forelegs. The ant makes multiple small pinches using the mandibles and lifts the object using its legs but does not grasp the object using the mandibles then walks away.,Nyjer
2024/08/09 12:40 (GMT+1),12,☑️ - Manipulated or Pinched - No Grasp,Researcher initially moves the seed then an ant approaches the seed and senses it briefly using antennae. The seed is adjusted again using tweezers by the researcher. Another ant approaches the seed and manipulates it using its forelegs and makes small pinches using its mandibles along the seed’s length but makes no grasp attempt. Another ant approaches and senses the seed but does not grasp it.,Nyjer
