Calibration Parameters,Grasped?,Hardware Synchronised,Notes,Object,Reviewed for Upload?,Session Number,Video Date
No,✅✅ - Grasped and Carried Away,No,"Not Synchronised Video. Pile of seeds in the middle of the scene. An ant walks across the pile at 0:08. Two different ants walk near the scene at 0:37 and 0:41 respectively. At 0:39, an ant walks into the scene, senses and pinches a Nyjer seed without moving it. At 0:44, one ant interacts with the other ant from 0:39 but does not sense any seed. At 0:45, a new ant senses and pinches a grass seed then walks away without grasping. At 0:53, a new ant senses a Nyjer seed, and pinches and manipulates the seed with its forelegs then picks it up and carries it away, also cleaning its antennae with the object held in the mandibles. At the end of this video, a separate ant walks across the pile of seeds sensing it with its antennae.",Nyjer,Yes,7,2024/07/25 16:30 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,Not Synchronised Video. Multiple seeds in view. An ant crawls across the pile of seeds at 0:07. Another senses the seeds at 0:37.  At 1:18 ant enters the scene and senses a seed before manipulating it using mandibles and forelimbs. It drags the seed out of view of the camera without lifting the seed up.,Nyjer,Yes,6,2024/07/25 16:30 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. At 0:33 an ant moves into view, then senses and manipulates the large flat seed for an extended duration, partially out of view of one of the video feeds. The ant uses its mandibles and pinches around the edge of the seed. Video continues for 2 minutes but section of interest is 0:33 to 1:12. At 0:42, another ant enters the scene but does not interact with any seeds. Another ant moves through the scene starting at 1:38, without interacting with any objects.
Another ant arrives and senses a lump of Bhatkar mix at 2:45 and there are no visible ants after this time stamp.",Large Seed,Yes,8,2024/07/25 16:30 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,Not Synchronised Video. Ant walks into scene and quickly manipulates the seed and attempts grasps but leaves without the seed.,Grass Seed,Yes,3,2024/07/25 15:09 (GMT+1)
No,❌ - Sensed - Not Manipulated,No,"Not Synchronised Video. Multiple seeds in the video, ant walks through the scene and sensed the seeds using antennae then walks off without attempting a grasp. Extended sensing of mustard seed.",Mustard Seed,Yes,14,2024/07/25 15:09 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. Pile of seeds, multiple ants walk around the seeds. Some briefly sense the grass seed. After 1:25 a pollen lump is moved into view. One large ant enters the scene and makes rapid antennal contacts with another ant. This larger ant then moves and senses the lump before dragging the object out of frame, but then grasps the object using the mandibles and carries away while out of frame.",Pollen Lump,Yes,20,2024/07/25 15:28 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. At 0:12, an ant moves through the view of the camera. At 0:17, a different ant walks through the scene without interacting, carrying a mustard seed in its mandibles. At 0:24, an ant senses the Nyjer seed but does not manipulate it. An ant walks through at 1:32 and senses the seed without manipulating or making leg contact. At 2:51, an ant walks up to the nyjer seed while tapping its antennae on the ground. This ant uses its antennae to probe the seed, and manipulates the seed with its forelegs while pinching with its mandibles. It crawls over the pile of seeds but does not pinch or manipulate any other objects. This ant cleans its antennae then walks out of the scene.",Nyjer,Yes,21,2024/07/25 15:28 (GMT+1)
No,✅✅ - Grasped and Carried Away,No,"Not Synchronised Video. Consider this video after 1:24 due to disturbance of the camera and interference with seed pile before this. The first, smaller, ant moves to the centre of the pile, senses a dandelion seed and opens its mandibles but makes no grasp attempt. At 1:28, a larger ant senses the oat seeds in the pile without manipulating them. At 1:32, another large ant walks over the seed pile with mandibles wide open and moves the seeds then walks away. At 1:37, an ant walks into view of the camera, senses the pile of seeds and walks away. At 1:41, an ant senses the ground before making antennal contact with a nyjer seed. It holds the seed with its forelegs and makes contact with the antennae then pinches the seed with its mandibles. The forelegs remain in contact with the seed even as the seed is held off the ground. By 1:46, the ant has carried the nyjer seed out of view.",Nyjer,Yes,23,2024/07/25 15:28 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. At 1:15, an ant walks towards the oat seed and senses it using its antennae, making brief contact with its forelegs, then using those forelegs to manipulate the seed and rotate it while it taps the mandibles along the surface in a partially opened pose, almost vibrating the mandibles against the surface of the seed. The forelegs appear to be pulling the seed towards the ant head, and the left midleg also makes contact with the seed. The ant makes multiple pinching attempts on the object. This ant walks away and over the oat seed without attempting to grasp it.",Oat,Yes,25,2024/07/25 15:28 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. At 1:26, an ant walks up to the pile of seeds, first contacting a dandelion seed with its antennae then probing a lump of pollen. This ant touches the lump of pollen with its mandible tips and forelegs, manipulating the object, and using the forelegs to pull the lump towards the ants body. The ant does this without pinching the pollen lump with its mandibles. The ant then moves to a large flat seed. The ant stands on the seed with its forelegs, the left and right midlegs are stood on the pollen lump and an oat seed respectively. The ant follows the thin edge of the flat seed using its mandibles and manipulating that seed with its forelegs. Then the ant moves to sense an oat, and a mustard seed, walking over the two before walking away.","Dandelion seed, Large Seed, Pollen Lump",Yes,26,2024/07/25 15:28 (GMT+1)
No,✅ - Grasped + Dropped,No,"Not Synchronised Video. At 0:02, an ant senses a pollen lump making localised frequent taps with the antennae. The ant moves to pinch the object with its mandibles and uses its forelegs to pull the pollen lump towards its body. The mandibles appear to be vibrating against the pollen lump in between the inner edges of the mandibles. The ant makes multiple pinching attempts on this pollen lump but does not grasp it. The ant then moves to sense a dandelion seed with its antennae, and uses its legs to pull a different dandelion seed away from the first. The ant rotates the seed and its body so the two are more aligned and rotates its head to fit the mandibles around the dandelion seed. The ant lifts this dandelion seed with it held in the mandibles but does not carry the seed away, and continues pinching up the length of the seed. The ant moves on to sense an oat seed, manipulating it briefly, then crawls over and touches the open mandibles to a mustard seed but walks off without grasping.","Dandelion seed, Large Seed, Mustard Seed, Pollen Lump",Yes,28,2024/07/25 15:28 (GMT+1)
No,✅ - Grasped + Dropped,No,"Not Synchronised Video. At 0:36, the ant walks up to a pollen lump and taps it with tho antennae and touches the lump with its forelegs in multiple locations, then the ant moves onto a dandelion seed that it pulls using the forelegs, and grips using the mandibles, to then pick up the seed. Using its forelegs to hold the seed while it readjusts the grip the mandibles, the ant moves the mandibles up towards the widest end of the seed. The ant then continues moving the mandibles along the seed surface, back down to the smaller tip. The ant puts the dandelion seed down, and senses the pile of seeds in a wide range with the antennae and walks away without manipulating any other seeds.",Dandelion seed,Yes,29,2024/07/25 15:28 (GMT+1)
No,✅ - Grasped + Dropped,No,"Not Synchronised Video. At 0:05, a large ant enters the scene, tapping over the pile of seeds in a wide range with the tips of the antennae. The ant walks around the pile of seeds, until it reaches a dandelion seed. At this point, the search becomes more localised over a small area around the seed. The ant makes contact with the antennae on the dandelion seed then uses its forelegs to pull and manipulate the seed. The ant pinches with the mandibles and lifts the seed off the ground while the forelegs remain in contact with the seed. The mandible pinch releases and the and continues to pinch the dandelion seed in other locations, continuing to contact the seed with rapid tapping movements the whole time. The ant walks away without the seed. The ant also performs some grooming behaviour out of view of the cameras.",Dandelion seed,Yes,30,2024/07/25 15:28 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. At 0:28, an ant walks to the pile of seeds and immediately senses then interacts with a pollen lump. The ant manipulates the seeds using its forelegs ant taps using the antennae around the pollen lump. The ant touches the pollen lump with its mandibles and continues to use the forelegs to pull the pollen lump away from the pile of seeds. Without picking up the seed, it takes the pollen lump out of view of the cameras.",Pollen Lump,Yes,31,2024/07/25 15:28 (GMT+1)
No,✅ - Grasped + Dropped,No,"Not Synchronised Video. At the start of the video an ant walks into view, sensing the ground but makes only antennal contact with any seeds. The researcher then adjusts the pile of seeds using tweezers. More seeds are added to the pile then at 1:02 an ant walks into view, senses a dandelion seed using its antennae. The ant then moves on to sensing an oat and manipulating it with its forelegs. The ant goes back to the first dandelion seed and picks it up using its mandibles, while also securing the seed with its forelegs. The dandelion seed is put down and the ant cleans its antennae before walking away.",Dandelion seed,Yes,32,2024/07/25 15:28 (GMT+1)
No,✅✅ - Grasped and Carried Away,No,"Not Synchronised Video. From the start of the video, there is an ant sensing and walking over the pile of seeds. At 0:15 another ant senses a dandelion seed with its antennae then walks away without manipulating anything. At 0:22, that same ant walks back through the outer edge of the scene walking over some dandelion seeds. At 0:31, an ant walks up to a dandelion seed and senses it with the antennae then senses a large flat seed with the antennae, and walking over a dandelion seed. This ant manipulates the dandelion seed using its forelegs and rotates the seed to align it with the mandibles. This ant touches the seed with its mandibles but does not grip the seed. It walks to another dandelion seed that it senses with the antennae and in a short period of time, manipulates with the forelegs, pinches with the mandibles multiple times. This ant also appears to use the right midleg to manipulate or hold this seed. The ant searches around the seed in this manner for a number of seconds until it grips the seed using its mandibles, cleans the antennae then walks out of view.",Dandelion seed,Yes,35,2024/07/25 15:28 (GMT+1)
